County_FIPS,SVI_county,priority_high_demand,priority_SVI_hotspot,priority_SVI_pop,priority_hotspot,percentage_scenario_high_demand_base_case_capacity_10,percentage_scenario_high_demand_base_case_capacity_20,percentage_scenario_high_demand_base_case_capacity_30,percentage_scenario_high_demand_base_case_capacity_40,percentage_scenario_high_demand_base_case_capacity_50,percentage_scenario_high_demand_base_case_capacity_60,percentage_scenario_high_demand_base_case_capacity_70,percentage_scenario_high_demand_base_case_capacity_80,percentage_scenario_SVI_hotspot_base_case_capacity_10,percentage_scenario_SVI_hotspot_base_case_capacity_20,percentage_scenario_SVI_hotspot_base_case_capacity_30,percentage_scenario_SVI_hotspot_base_case_capacity_40,percentage_scenario_SVI_hotspot_base_case_capacity_50,percentage_scenario_SVI_hotspot_base_case_capacity_60,percentage_scenario_SVI_hotspot_base_case_capacity_70,percentage_scenario_SVI_hotspot_base_case_capacity_80,percentage_scenario_SVI_pop_base_case_capacity_10,percentage_scenario_SVI_pop_base_case_capacity_20,percentage_scenario_SVI_pop_base_case_capacity_30,percentage_scenario_SVI_pop_base_case_capacity_40,percentage_scenario_SVI_pop_base_case_capacity_50,percentage_scenario_SVI_pop_base_case_capacity_60,percentage_scenario_SVI_pop_base_case_capacity_70,percentage_scenario_SVI_pop_base_case_capacity_80,percentage_scenario_hotspot_base_case_capacity_10,percentage_scenario_hotspot_base_case_capacity_20,percentage_scenario_hotspot_base_case_capacity_30,percentage_scenario_hotspot_base_case_capacity_40,percentage_scenario_hotspot_base_case_capacity_50,percentage_scenario_hotspot_base_case_capacity_60,percentage_scenario_hotspot_base_case_capacity_70,percentage_scenario_hotspot_base_case_capacity_80
1001,0.03030303,0.039755352,0.004710331,0.006002115,0.144562037,0,0,0,0,0,38.46153846,100,100,0,0,0,0,0,38.46153846,100,100,0,0,0,0,0,38.46153846,100,100,0,0,0,0,0,38.46153846,100,100
1003,0.104477612,0.066847335,0.030572434,0.015649745,0.278790601,0,20.51282051,21.79487179,46.15384615,46.15384615,46.15384615,47.43589744,57.69230769,20.51282051,21.79487179,46.15384615,46.15384615,46.15384615,46.15384615,57.69230769,64.1025641,0,0,0,0,0,0,0,0,20.51282051,21.79487179,46.15384615,46.15384615,46.15384615,46.15384615,57.69230769,64.1025641
1005,0.074626866,0.032520325,0.007964902,0.009651409,0.100505705,0,30,55,62.5,62.5,62.5,62.5,70,12.5,52.5,55,62.5,62.5,62.5,75,92.5,0,0,0,0,0,0,0,0,12.5,52.5,55,62.5,62.5,62.5,75,92.5
1007,0.76119403,0.019873532,0.228864434,0.054439593,0.250363225,0,0,0,0,15.38461538,30.76923077,30.76923077,30.76923077,0,0,0,15.38461538,30.76923077,30.76923077,30.76923077,57.69230769,0,0,0,0,0,0,0,0,0,0,0,15.38461538,30.76923077,30.76923077,30.76923077,57.69230769
1009,0.686567164,0.073170732,0.115343721,0.315527304,0.111562348,11.76470588,11.76470588,17.64705882,23.52941176,31.76470588,40,48.23529412,61.17647059,11.76470588,12.94117647,23.52941176,28.23529412,38.82352941,44.70588235,61.17647059,64.70588235,0,0,0,0,100,100,100,100,11.76470588,12.94117647,23.52941176,28.23529412,38.82352941,44.70588235,61.17647059,64.70588235
1011,0.52238806,0.048780488,0.207022851,0.064376332,0.353564796,0,17.24137931,18.96551724,31.03448276,44.82758621,46.55172414,55.17241379,56.89655172,0,18.96551724,29.31034483,44.82758621,46.55172414,55.17241379,56.89655172,79.31034483,0,0,0,0,0,0,0,0,0,18.96551724,29.31034483,44.82758621,46.55172414,55.17241379,56.89655172,79.31034483
1013,0.223880597,0.023486902,0.026638969,0.039045545,0.07349051,0,0,30,33.33333333,33.33333333,33.33333333,33.33333333,40,0,26.66666667,33.33333333,33.33333333,33.33333333,33.33333333,40,40,0,0,0,0,0,0,0,0,0,26.66666667,33.33333333,33.33333333,33.33333333,33.33333333,40,40
1015,0.089552239,0.039747064,0.014355826,0.012018667,0.146843843,0,0,10.41666667,10.41666667,10.41666667,10.41666667,22.91666667,37.5,0,0,10.41666667,10.41666667,10.41666667,22.91666667,37.5,37.5,0,0,0,0,0,0,0,0,0,0,10.41666667,10.41666667,10.41666667,22.91666667,37.5,37.5
1017,0.626865672,0.052393857,0.241185199,0.087888952,0.339996835,0,0,0,9.677419355,11.29032258,11.29032258,20.96774194,33.87096774,0,0,0,9.677419355,11.29032258,20.96774194,35.48387097,43.5483871,0,0,0,0,0,0,0,0,0,0,0,9.677419355,11.29032258,20.96774194,35.48387097,43.5483871
1019,0.164179104,0.055103884,0.026330485,0.047362443,0.124247494,0,7.692307692,7.692307692,9.230769231,35.38461538,38.46153846,50.76923077,50.76923077,0,7.692307692,7.692307692,33.84615385,35.38461538,50.76923077,52.30769231,64.61538462,0,0,0,0,0,0,0,0,0,7.692307692,7.692307692,33.84615385,35.38461538,50.76923077,52.30769231,64.61538462
1021,0.582089552,0.037940379,0.123974597,0.109407993,0.160008202,0,0,10.86956522,19.56521739,19.56521739,32.60869565,50,52.17391304,0,10.86956522,19.56521739,19.56521739,26.08695652,50,52.17391304,56.52173913,0,0,0,0,0,0,0,0,0,10.86956522,19.56521739,19.56521739,26.08695652,50,52.17391304,56.52173913
1023,0.208955224,0.104787715,0.068576611,0.061508251,0.29479855,20,35.83333333,45.83333333,45.83333333,45.83333333,55.83333333,56.66666667,56.66666667,20,36.66666667,45.83333333,45.83333333,55.83333333,55.83333333,56.66666667,56.66666667,0,0,0,0,0,0,0,0,20,36.66666667,45.83333333,45.83333333,55.83333333,55.83333333,56.66666667,56.66666667
1025,0.343283582,0.127371274,0.109805285,0.136697717,0.277689302,0,0,10.34482759,11.03448276,14.48275862,20.68965517,26.20689655,35.86206897,0,6.896551724,10.34482759,13.79310345,17.93103448,26.20689655,35.86206897,40,0,0,0,0,0,0,0,100,0,6.896551724,10.34482759,13.79310345,17.93103448,26.20689655,35.86206897,40
1027,0.253731343,0.002710027,0.020215324,0.009827556,0.029820733,0,0,0,0,0,0,14.28571429,57.14285714,0,0,0,0,0,14.28571429,57.14285714,57.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,57.14285714,57.14285714
1029,0.402985075,0.061427281,0.061333859,0.164186316,0.099531421,12.5,13.88888889,18.05555556,36.11111111,41.66666667,50,75,77.77777778,12.5,13.88888889,26.38888889,41.66666667,48.61111111,73.61111111,77.77777778,77.77777778,0,0,0,0,0,0,41.66666667,100,12.5,13.88888889,26.38888889,41.66666667,48.61111111,73.61111111,77.77777778,77.77777778
1031,0.28358209,0.04968383,0.071506302,0.052515666,0.209256918,0,23.72881356,23.72881356,27.11864407,32.20338983,40.6779661,66.10169492,84.74576271,0,23.72881356,25.42372881,32.20338983,40.6779661,66.10169492,84.74576271,84.74576271,0,0,0,0,0,0,0,0,0,23.72881356,25.42372881,32.20338983,40.6779661,66.10169492,84.74576271,84.74576271
1033,0.119402985,0.073170732,0.021606924,0.037295687,0.156081236,0,0,7.058823529,8.235294118,16.47058824,20,20,24.70588235,0,7.058823529,8.235294118,16.47058824,20,20,24.70588235,32.94117647,0,0,0,0,0,0,0,0,0,7.058823529,8.235294118,16.47058824,20,20,24.70588235,32.94117647
