County_FIPS,SVI_county,Covid_cases,CHW_need,priority_high_demand,priority_SVI_high_demand,priority_SVI_hotspot,priority_SVI_pop,priority_hotspot,percentage_scenario_high_demand_base_case_capacity_0,percentage_scenario_high_demand_base_case_capacity_10,percentage_scenario_high_demand_base_case_capacity_20,percentage_scenario_high_demand_base_case_capacity_30,percentage_scenario_high_demand_base_case_capacity_40,percentage_scenario_high_demand_base_case_capacity_50,percentage_scenario_high_demand_base_case_capacity_60,percentage_scenario_high_demand_base_case_capacity_70,percentage_scenario_high_demand_base_case_capacity_80,percentage_scenario_SVI_high_demand_base_case_capacity_0,percentage_scenario_SVI_high_demand_base_case_capacity_10,percentage_scenario_SVI_high_demand_base_case_capacity_20,percentage_scenario_SVI_high_demand_base_case_capacity_30,percentage_scenario_SVI_high_demand_base_case_capacity_40,percentage_scenario_SVI_high_demand_base_case_capacity_50,percentage_scenario_SVI_high_demand_base_case_capacity_60,percentage_scenario_SVI_high_demand_base_case_capacity_70,percentage_scenario_SVI_high_demand_base_case_capacity_80,percentage_scenario_SVI_hotspot_base_case_capacity_0,percentage_scenario_SVI_hotspot_base_case_capacity_10,percentage_scenario_SVI_hotspot_base_case_capacity_20,percentage_scenario_SVI_hotspot_base_case_capacity_30,percentage_scenario_SVI_hotspot_base_case_capacity_40,percentage_scenario_SVI_hotspot_base_case_capacity_50,percentage_scenario_SVI_hotspot_base_case_capacity_60,percentage_scenario_SVI_hotspot_base_case_capacity_70,percentage_scenario_SVI_hotspot_base_case_capacity_80,percentage_scenario_SVI_pop_base_case_capacity_0,percentage_scenario_SVI_pop_base_case_capacity_10,percentage_scenario_SVI_pop_base_case_capacity_20,percentage_scenario_SVI_pop_base_case_capacity_30,percentage_scenario_SVI_pop_base_case_capacity_40,percentage_scenario_SVI_pop_base_case_capacity_50,percentage_scenario_SVI_pop_base_case_capacity_60,percentage_scenario_SVI_pop_base_case_capacity_70,percentage_scenario_SVI_pop_base_case_capacity_80,percentage_scenario_hotspot_base_case_capacity_0,percentage_scenario_hotspot_base_case_capacity_10,percentage_scenario_hotspot_base_case_capacity_20,percentage_scenario_hotspot_base_case_capacity_30,percentage_scenario_hotspot_base_case_capacity_40,percentage_scenario_hotspot_base_case_capacity_50,percentage_scenario_hotspot_base_case_capacity_60,percentage_scenario_hotspot_base_case_capacity_70,percentage_scenario_hotspot_base_case_capacity_80
35039,0.212121212,86,39,0.483942908,0.243152247,0.181738572,0.027728125,0.722810186,0,0,0,0,0,0,76.92307692,100,100,0,0,0,0,0,0,0,100,100,0,0,0,0,25.64102564,58.97435897,92.30769231,100,100,0,0,0,0,0,0,0,100,100,0,0,0,15.38461538,48.71794872,76.92307692,100,100,100
1001,0.208955224,213,94,0.056844548,0.016771218,0.04643351,0.020649058,0.159606627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.27659574,21.27659574,38.29787234,39.36170213,45.74468085,45.74468085,0,0,0,0,0,0,0,0,0,0,0,21.27659574,21.27659574,38.29787234,39.36170213,45.74468085,45.74468085,46.80851064
1009,0.074626866,252,111,0.068155452,0.006180812,0.016246642,0.004956742,0.193198418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71171171,12.61261261,12.61261261,41.44144144,49.54954955,0,0,0,0,0,0,0,0,0,0,0,11.71171171,12.61261261,41.44144144,49.54954955,62.16216216,62.16216216,62.16216216
1013,0.731343284,55,23,0.011020882,0.01500615,0.115332101,0.027398624,0.075984187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.39130435,17.39130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,0.71641791,437,192,0.121809745,0.127435424,0.165863243,0.174533146,0.154363783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,11.97916667,11.97916667,18.22916667,29.16666667,33.33333333,45.83333333,48.4375,0,0,0,0,0,0,94.27083333,100,100,0,0,11.97916667,11.97916667,11.97916667,17.70833333,18.22916667,23.95833333,33.33333333
1017,0.388059701,111,47,0.027262181,0.016180812,0.072527108,0.024103618,0.112324352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0212766,19.14893617,29.78723404,31.91489362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.63829787,17.0212766,19.14893617,29.78723404
1031,0.291044776,166,74,0.043213457,0.018339483,0.055555097,0.028010384,0.120375159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.21621622,25.67567568,32.43243243,32.43243243,32.43243243,0,0,0,0,0,0,0,0,0,0,0,0,0,24.32432432,25.67567568,32.43243243,32.43243243,32.43243243
1033,0.059701493,332,146,0.091357309,0.006599016,0.018558941,0.002681951,0.306875353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2739726,10.95890411,10.95890411,23.97260274,24.65753425
1039,0.52238806,212,93,0.056554524,0.044065191,0.180890883,0.037957644,0.278326352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.75268817,10.75268817,21.50537634,21.50537634,0,0,0,0,0,0,0,0,0,0,0,0,0,10.75268817,10.75268817,10.75268817,21.50537634,21.50537634
1043,0.179104478,363,148,0.100348028,0.025221402,0.041624062,0.027610122,0.173955119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.432432432,7.432432432,8.108108108,12.83783784,0,0,0,0,0,0,0,0,0,0,0,0,0,7.432432432,8.108108108,8.108108108,18.91891892,27.7027027
