County FIPS,demand_covered,total_demand_of_county,hot_spot,county_name,state_name,priority,percentage_for_30,percentage_for_50,percentage_for_70
01001,19,23,0.041167732,Autauga,AL,0.000411677,82.60869565,100,100
01003,22,27,0.012094932,Baldwin,AL,0.000120949,81.48148148,100,100
01005,12,12,0.048610548,Barbour,AL,0.000486105,100,100,100
01007,3,3,0.013396445,Bibb,AL,0.000133964,100,100,100
01009,5,5,0.00864663,Blount,AL,8.65E-05,100,100,100
01011,8,8,0.079200079,Bullock,AL,0.000792001,100,100,100
01013,69,72,0.370218017,Butler,AL,0.00370218,95.83333333,100,100
01015,15,15,0.013203644,Calhoun,AL,0.000132036,100,100,100
01017,14,14,0.042100198,Chambers,AL,0.000421002,100,100,100
01019,6,6,0.02290426,Cherokee,AL,0.000229043,100,100,100
01021,8,8,0.018006662,Chilton,AL,0.000180067,100,100,100
01023,13,13,0.103264755,Choctaw,AL,0.001032648,100,100,100
01025,16,17,0.071966811,Clarke,AL,0.000719668,94.11764706,100,100
01027,3,4,0.030222894,Clay,AL,0.000302229,75,100,100
01029,1,1,0.006706908,Cleburne,AL,6.71E-05,100,100,100
01031,14,21,0.040120744,Coffee,AL,0.000401207,66.66666667,100,100
01033,21,22,0.039825492,Colbert,AL,0.000398255,95.45454545,100,100
01035,3,3,0.024861192,Conecuh,AL,0.000248612,100,100,100
01037,2,2,0.018756448,Coosa,AL,0.000187564,100,100,100
01039,9,10,0.026991282,Covington,AL,0.000269913,90,100,100
01041,13,15,0.108916642,Crenshaw,AL,0.001089166,86.66666667,100,100
01043,5,6,0.00716264,Cullman,AL,7.16E-05,83.33333333,100,100
01045,9,10,0.020336777,Dale,AL,0.000203368,90,100,100
01047,42,43,0.115603828,Dallas,AL,0.001156038,97.6744186,100,100
01049,42,43,0.060128928,DeKalb,AL,0.000601289,97.6744186,100,100
01051,28,34,0.041867281,Elmore,AL,0.000418673,82.35294118,100,100
01053,5,5,0.013648896,Escambia,AL,0.000136489,100,100,100
01055,26,33,0.032268158,Etowah,AL,0.000322682,78.78787879,100,100
