FIPS,high_demand_priority,SVI_hotspot_priority,SVI_pop_priority,hotspot_priority
01001,0.002556124,0.884993325,0.835006725,0.01063013
01003,0.003000667,0.884114579,0.835520477,0.003123094
01005,0.00133363,0.886743228,0.835012292,0.012551978
01007,0.000333407,0.88442608,0.834773171,0.003459165
01009,0.000555679,0.884175019,0.835011112,0.00223269
01011,0.000889086,0.8880095,0.834677552,0.020450657
01013,0.008001778,0.90235214,0.834845824,0.095595883
01015,0.001667037,0.884589882,0.836496644,0.00340938
01017,0.001555901,0.885748344,0.835011505,0.010870907
01019,0.000666815,0.884558193,0.834738552,0.005914226
01021,0.000889086,0.884750197,0.835209514,0.004649592
01023,0.001444766,0.889149655,0.834721013,0.026664519
01025,0.001889309,0.887463688,0.834914113,0.018582917
01027,0.000444543,0.884942888,0.834644859,0.007804008
01029,0.000111136,0.884173023,0.834657998,0.001731825
01031,0.002333852,0.885209883,0.835092169,0.010359782
01033,0.002444988,0.884941493,0.834991372,0.010283544
01035,0.000333407,0.885118358,0.834694067,0.006419535
01037,0.000222272,0.884530883,0.834605053,0.004843198
01039,0.001111358,0.885160983,0.835098744,0.006969557
01041,0.001667037,0.888261261,0.834687803,0.028123922
01043,0.000666815,0.884177531,0.835416287,0.001849502
01045,0.001111358,0.884851521,0.835286598,0.005251263
01047,0.00477884,0.890261584,0.83524224,0.029850654
01049,0.00477884,0.886733137,0.835715878,0.015526197
01051,0.003778617,0.885262415,0.835425997,0.010810764
01053,0.000555679,0.884634866,0.83515742,0.003524351
01055,0.003667482,0.885180237,0.835925367,0.008332126
01057,0.000111136,0.884212291,0.834730896,0.001583947
01059,0.010446766,0.898444984,0.835051194,0.077393724
01061,0.000444543,0.884659711,0.834933179,0.003931561
01063,0.00133363,0.892332482,0.834656192,0.03820221
01065,0.001555901,0.88922937,0.834786485,0.024674162
01067,0.000444543,0.884700977,0.834688446,0.006003257
01069,0.00133363,0.884409312,0.836038545,0.002926448
01071,0.000777951,0.884410125,0.835119093,0.003501154
01073,0.01378084,0.884680041,0.843842943,0.004861826
01075,0.000222272,0.884485377,0.834670246,0.003740892
01077,0.003222938,0.884766529,0.835373852,0.0080754
01079,0.000889086,0.884655139,0.83483457,0.00627421
01081,0.002778395,0.884540245,0.836816079,0.00392324
01083,0.000777951,0.884179608,0.835608947,0.001827332
01085,0.002889531,0.898062636,0.834676445,0.069027274
01087,0.000777951,0.885959431,0.834832528,0.010003906
01089,0.001667037,0.884035505,0.836946485,0.001038652
01091,0.002000445,0.88813871,0.834793181,0.024640152
01093,0.001000222,0.885131239,0.834912493,0.00782233
01095,0.014447655,0.889563134,0.835992734,0.034686965
01097,0.024561014,0.886276731,0.841164248,0.013810299
01099,0.000222272,0.884378704,0.834817538,0.002490861
01101,0.018226273,0.887466981,0.838580875,0.018697525
01103,0.001555901,0.884427449,0.836255666,0.00302059
01105,0.000555679,0.887164417,0.834675183,0.014469074
01107,0.001222494,0.886881279,0.834878472,0.014251712
01109,0.001889309,0.886621251,0.835125414,0.013256196
01111,0.002667259,0.88832418,0.83483533,0.027273842
01113,0.001444766,0.88513794,0.83561852,0.005791474
01115,0.000889086,0.884152036,0.83518701,0.002307759
01117,0.002889531,0.884044622,0.835030848,0.003083845
01119,0.002556124,0.894117271,0.834739548,0.047790676
01121,0.000777951,0.884403362,0.835984175,0.002260004
01123,0.002667259,0.886989083,0.835252505,0.015352051
01125,0.004556568,0.884667607,0.837295129,0.005056874
01127,0.000777951,0.884435849,0.835500574,0.002845525
01129,0.00133363,0.887045579,0.834740543,0.018979427
01131,0.00133363,0.89012656,0.834691251,0.029871602
01133,0.000666815,0.884988378,0.83484091,0.006556734
02013,0,0.883964486,0.834526216,0
02016,0,0.883964486,0.834544231,0
02020,0.001000222,0.884047032,0.837329169,0.000806922
02050,0,0.883964486,0.834869311,0
02060,0,0.883964486,0.83449098,0
02068,0,0.883964486,0.834489201,0
02070,0,0.883964486,0.834576256,0
02090,0.000222272,0.884005332,0.835200929,0.000533232
02100,0,0.883964486,0.834495895,0
02105,0,0.883964486,0.834503916,0
02110,0,0.883964486,0.83468963,0
02122,0.000333407,0.884083951,0.834997848,0.001319489
02130,0,0.883964486,0.834650176,0
02150,0,0.883964486,0.834680096,0
02158,0,0.883964486,0.834651206,0
02164,0,0.883964486,0.834511914,0
02170,0,0.883964486,0.835222048,0
02180,0,0.883964486,0.83468431,0
02185,0,0.883964486,0.834639624,0
02188,0,0.883964486,0.834637651,0
02195,0.000111136,0.885133198,0.834531268,0.007906157
02198,0,0.883964486,0.834586658,0
02220,0,0.883964486,0.834557967,0
02230,0,0.883964486,0.834488933,0
02240,0.000111136,0.884450622,0.834571021,0.003746048
02261,0,0.883964486,0.834538057,0
02275,0,0.883964486,0.834514823,0
02282,0,0.883964486,0.834491953,0
02290,0,0.883964486,0.834583566,0
04001,0.01722605,0.896198249,0.836009747,0.055675353
04003,0.000333407,0.884088434,0.836934228,0.000615179
04005,0.014447655,0.887673142,0.836680485,0.023396222
04007,0.000444543,0.884346591,0.835526894,0.001912067
04009,0.000444543,0.884534379,0.835288166,0.002659475
04011,0,0.883964486,0.834610795,0
04012,0.000777951,0.885722559,0.834903063,0.008563131
04013,0.121582574,0.884854023,0.895651858,0.00629791
04015,0.005223383,0.88506097,0.838411865,0.005719697
04017,0.017892865,0.892258097,0.836854586,0.037478482
04019,0.021782618,0.884912813,0.854327028,0.004832538
04021,0.013336297,0.885243262,0.843018528,0.006695451
04023,0.000889086,0.884884682,0.835414533,0.004442601
04025,0.00555679,0.884600489,0.837113454,0.005491625
04027,0.007223828,0.885691317,0.839024761,0.007850796
05001,0.000111136,0.884220098,0.834776888,0.001476696
05003,0.000222272,0.884465326,0.834846457,0.002627208
05005,0,0.883964486,0.834736009,0
05007,0.00133363,0.884031281,0.836106394,0.001110042
05009,0,0.883964486,0.834836448,0
05011,0.000222272,0.885010067,0.8347111,0.004798199
05013,0,0.883964486,0.834545695,0
05015,0.000111136,0.884084865,0.834847186,0.000909849
05017,0.000111136,0.884529963,0.834701112,0.002552037
05019,0.000222272,0.884370391,0.834862706,0.002313755
05021,0.000111136,0.884222032,0.834688551,0.001774552
05023,0.000111136,0.884012466,0.834596056,0.001036218
05025,0.000222272,0.884778716,0.83458101,0.006491079
05027,0.000222272,0.884424419,0.834957781,0.002201604
05029,0.000111136,0.884173446,0.834824184,0.001238679
05031,0.001444766,0.884508304,0.836388714,0.00304245
05033,0.000111136,0.884019882,0.835313481,0.0004082
05035,0.001667037,0.885641562,0.835446038,0.008076794
05037,0.000666815,0.885435478,0.834731782,0.009435962
05039,0,0.883964486,0.834616685,0
05041,0.000111136,0.8844493,0.834718634,0.00227282
05043,0.000333407,0.884721548,0.834797858,0.004251854
05045,0.000444543,0.884051472,0.835775714,0.000819685
05047,0,0.883964486,0.834710607,0
05049,0.000111136,0.884272158,0.834663747,0.002069529
05051,0.000222272,0.884060125,0.836250792,0.000519621
05053,0.000222272,0.884187041,0.834623463,0.002827431
05055,0.000444543,0.884260008,0.835052165,0.002278787
05057,0.000111136,0.884216878,0.834922189,0.001199216
05059,0.000777951,0.884938654,0.835078114,0.005352242
05061,0,0.883964486,0.834740937,0
05063,0.000555679,0.884535438,0.835095533,0.003413286
05065,0.000444543,0.884924205,0.834651295,0.007578402
05067,0,0.883964486,0.834759154,0
05069,0.003889753,0.886801265,0.83583794,0.013524375
05071,0.000222272,0.884343199,0.834984795,0.001943074
05073,0.000111136,0.884648868,0.834596936,0.003898175
05075,0.001111358,0.886228456,0.834712502,0.015739065
05077,0.000222272,0.88521602,0.834668205,0.005830758
05079,0.009113136,0.913359637,0.834712017,0.162574005
05081,0,0.883964486,0.834650567,0
05083,0,0.883964486,0.83485529,0
05085,0.000333407,0.884042211,0.835005278,0.001056685
05087,0,0.883964486,0.83471714,0
05089,0,0.883964486,0.834670068,0
05091,0.000222272,0.884206623,0.835331708,0.001193865
05093,0.002000445,0.886392709,0.835318193,0.011433598
05095,0.000111136,0.88469394,0.834607129,0.003853382
05097,0.000111136,0.884411616,0.834619655,0.002873527
05099,0.000111136,0.884579442,0.834641233,0.003129121
05101,0,0.883964486,0.834531495,0
05103,0.000222272,0.884389465,0.834919033,0.002208666
05105,0.000111136,0.884313654,0.834627364,0.002469776
05107,0.000111136,0.884262712,0.834837249,0.001452115
05109,0,0.883964486,0.834648528,0
05111,0.000333407,0.884569602,0.834902153,0.00329244
05113,0,0.883964486,0.83486809,0
05115,0.000333407,0.884177769,0.835575942,0.001209023
